participant_id	mlat5_corr	mlat5_incorr	mlat5_RT
sub-pp111	1.0	0.0	2567.0
sub-pp111	1.0	0.0	4376.199998855591
sub-pp111	0.0	1.0	3538.6000003814697
sub-pp111	1.0	0.0	1608.7999992370603
sub-pp111	1.0	0.0	2617.2000007629395
sub-pp111	1.0	0.0	5857.199998855591
sub-pp111	1.0	0.0	2153.300001144409
sub-pp111	1.0	0.0	6489.0
sub-pp111	1.0	0.0	2073.2000007629395
sub-pp111	1.0	0.0	3881.70000076294
sub-pp111	1.0	0.0	5967.699998855591
sub-pp111	1.0	0.0	3049.3999996185303
sub-pp111	1.0	0.0	5968.60000038147
sub-pp111	0.0	1.0	5225.799999237061
sub-pp111	1.0	0.0	22025.20000076294
sub-pp111	1.0	0.0	6304.699998855591
sub-pp111	1.0	0.0	8921.39999961853
sub-pp111	1.0	0.0	8385.60000038147
sub-pp111	0.0	1.0	8761.5
sub-pp111	1.0	0.0	4521.299999237061
sub-pp111	0.0	1.0	7897.60000038147
sub-pp111	1.0	0.0	2857.7000007629395
sub-pp111	1.0	0.0	4274.60000038147
sub-pp111	1.0	0.0	3323.0
