participant_id	finger-tapping_taps	finger-tapping_corr	finger-tapping_RT	trial_type
sub-pp162	1.0	0.0	248.19999998807907	dominant1
sub-pp162	2.0	0.0	387.6999999880791	dominant1
sub-pp162	3.0	0.0	529.6999999880791	dominant1
sub-pp162	4.0	0.0	676.4000000357628	dominant1
sub-pp162	5.0	0.0	814.6999999880791	dominant1
sub-pp162	6.0	0.0	968.600000023842	dominant1
sub-pp162	7.0	0.0	1122.9000000357628	dominant1
sub-pp162	8.0	0.0	1278.699999988079	dominant1
sub-pp162	9.0	0.0	1414.100000023842	dominant1
sub-pp162	10.0	0.0	1561.600000023842	dominant1
sub-pp162	11.0	0.0	1714.800000011921	dominant1
sub-pp162	12.0	0.0	1867.699999988079	dominant1
sub-pp162	13.0	0.0	2028.9000000357628	dominant1
sub-pp162	14.0	0.0	2185.0	dominant1
sub-pp162	15.0	0.0	2328.800000011921	dominant1
sub-pp162	16.0	0.0	2487.5	dominant1
sub-pp162	17.0	0.0	2646.5	dominant1
sub-pp162	18.0	0.0	2824.800000011921	dominant1
sub-pp162	19.0	0.0	2980.600000023842	dominant1
sub-pp162	20.0	0.0	3150.600000023842	dominant1
sub-pp162	21.0	0.0	3306.600000023842	dominant1
sub-pp162	22.0	0.0	3478.699999988079	dominant1
sub-pp162	23.0	0.0	3637.699999988079	dominant1
sub-pp162	24.0	0.0	3836.600000023842	dominant1
sub-pp162	25.0	0.0	3964.800000011921	dominant1
sub-pp162	26.0	0.0	4116.900000035763	dominant1
sub-pp162	27.0	0.0	4280.400000035763	dominant1
sub-pp162	28.0	0.0	4451.400000035763	dominant1
sub-pp162	29.0	0.0	4616.5	dominant1
sub-pp162	30.0	0.0	4791.800000011921	dominant1
sub-pp162	31.0	0.0	4963.900000035763	dominant1
sub-pp162	32.0	0.0	5138.600000023842	dominant1
sub-pp162	33.0	0.0	5303.400000035763	dominant1
sub-pp162	34.0	0.0	5463.800000011921	dominant1
sub-pp162	35.0	0.0	5632.800000011921	dominant1
sub-pp162	36.0	0.0	5802.800000011921	dominant1
sub-pp162	37.0	0.0	5963.699999988079	dominant1
sub-pp162	38.0	0.0	6137.800000011921	dominant1
sub-pp162	39.0	0.0	6323.900000035763	dominant1
sub-pp162	40.0	0.0	6491.400000035763	dominant1
sub-pp162	41.0	0.0	6676.699999988079	dominant1
sub-pp162	42.0	0.0	6851.699999988079	dominant1
sub-pp162	43.0	0.0	7012.800000011921	dominant1
sub-pp162	44.0	0.0	7194.5	dominant1
sub-pp162	45.0	0.0	7374.699999988079	dominant1
sub-pp162	46.0	0.0	7531.900000035763	dominant1
sub-pp162	47.0	0.0	7710.800000011921	dominant1
sub-pp162	48.0	0.0	7892.600000023842	dominant1
sub-pp162	49.0	0.0	8059.699999988079	dominant1
sub-pp162	50.0	0.0	8233.699999988079	dominant1
sub-pp162	51.0	0.0	8396.699999988079	dominant1
sub-pp162	52.0	0.0	8589.699999988079	dominant1
sub-pp162	53.0	0.0	8764.600000023842	dominant1
sub-pp162	54.0	0.0	8942.699999988079	dominant1
sub-pp162	55.0	0.0	9110.69999998808	dominant1
sub-pp162	56.0	0.0	9284.80000001192	dominant1
sub-pp162	57.0	0.0	9440.80000001192	dominant1
sub-pp162	58.0	0.0	9609.600000023842	dominant1
sub-pp162	59.0	0.0	9778.5	dominant1
sub-pp162	60.0	0.0	9966.900000035765	dominant1
sub-pp162	1.0	0.0	460.1999999880791	dominant2
