participant_id	mlat5_corr	mlat5_incorr	mlat5_RT
sub-pp067	1.0	0.0	2324.60000000149
sub-pp067	1.0	0.0	7512.199999999255
sub-pp067	1.0	0.0	1830.70000000298
sub-pp067	1.0	0.0	2233.300000000745
sub-pp067	1.0	0.0	2320.300000000745
sub-pp067	1.0	0.0	1498.89999999851
sub-pp067	1.0	0.0	2156.599999997765
sub-pp067	1.0	0.0	1851.4000000022352
sub-pp067	1.0	0.0	1738.800000000745
sub-pp067	1.0	0.0	1276.800000000745
sub-pp067	1.0	0.0	1595.5999999977648
sub-pp067	1.0	0.0	4977.89999999851
sub-pp067	1.0	0.0	1919.3999999985097
sub-pp067	0.0	1.0	4257.199999999255
sub-pp067	1.0	0.0	7341.5
sub-pp067	1.0	0.0	2272.0
sub-pp067	1.0	0.0	6226.5
sub-pp067	1.0	0.0	2190.70000000298
sub-pp067	1.0	0.0	1886.699999999255
sub-pp067	1.0	0.0	3974.800000000745
sub-pp067	1.0	0.0	1977.60000000149
sub-pp067	1.0	0.0	1975.0
sub-pp067	1.0	0.0	4064.400000002235
sub-pp067	1.0	0.0	4144.099999997765
