participant_id	mlat5_corr	mlat5_incorr	mlat5_RT
sub-pp133	1.0	0.0	4094.399999976158
sub-pp133	1.0	0.0	2777.199999988079
sub-pp133	1.0	0.0	2125.400000035763
sub-pp133	0.0	1.0	5958.800000011921
sub-pp133	1.0	0.0	2541.0
sub-pp133	0.0	1.0	1781.699999988079
sub-pp133	1.0	0.0	5616.400000035763
sub-pp133	0.0	1.0	12726.100000023842
sub-pp133	0.0	1.0	8888.800000011921
sub-pp133	1.0	0.0	7732.199999988079
sub-pp133	0.0	1.0	6574.0
sub-pp133	1.0	0.0	2086.600000023842
sub-pp133	1.0	0.0	7483.699999988079
sub-pp133	0.0	1.0	3762.5
sub-pp133	0.0	1.0	11603.899999976158
sub-pp133	1.0	0.0	7716.699999988079
sub-pp133	0.0	1.0	3369.599999964237
sub-pp133	0.0	1.0	9147.599999964235
sub-pp133	1.0	0.0	9154.399999976158
sub-pp133	0.0	1.0	11121.0
sub-pp133	1.0	0.0	6471.800000011921
sub-pp133	0.0	1.0	5151.300000011921
sub-pp133	0.0	1.0	19152.60000002384
sub-pp133	1.0	0.0	5970.300000011921
