participant_id	mlat5_corr	mlat5_incorr	mlat5_RT
sub-pp013	1.0	0.0	3638.0
sub-pp013	1.0	0.0	1930.0
sub-pp013	1.0	0.0	2169.0
sub-pp013	1.0	0.0	5437.0
sub-pp013	1.0	0.0	5737.0
sub-pp013	1.0	0.0	3069.0
sub-pp013	1.0	0.0	1688.0
sub-pp013	0.0	1.0	4557.0
sub-pp013	1.0	0.0	1862.0
sub-pp013	1.0	0.0	1754.0
sub-pp013	1.0	0.0	3697.0
sub-pp013	1.0	0.0	3401.0
sub-pp013	1.0	0.0	1752.0
sub-pp013	0.0	1.0	3491.0
sub-pp013	1.0	0.0	8420.0
sub-pp013	1.0	0.0	6572.0
sub-pp013	0.0	1.0	6770.0
sub-pp013	1.0	0.0	4187.0
sub-pp013	1.0	0.0	2735.0
sub-pp013	1.0	0.0	3899.0
sub-pp013	1.0	0.0	6141.0
sub-pp013	1.0	0.0	2406.0
sub-pp013	0.0	1.0	5827.0
sub-pp013	1.0	0.0	5263.0
