participant_id	finger-tapping_taps	finger-tapping_corr	finger-tapping_RT	trial_type
sub-pp013	1.0	0.0	172.0	dominant1
sub-pp013	2.0	0.0	347.0	dominant1
sub-pp013	3.0	0.0	513.0	dominant1
sub-pp013	4.0	0.0	665.0	dominant1
sub-pp013	5.0	0.0	844.0	dominant1
sub-pp013	6.0	0.0	997.0	dominant1
sub-pp013	7.0	0.0	1300.0	dominant1
sub-pp013	8.0	0.0	1417.0	dominant1
sub-pp013	9.0	0.0	1627.0	dominant1
sub-pp013	10.0	0.0	1984.0	dominant1
sub-pp013	11.0	0.0	2161.0	dominant1
sub-pp013	12.0	0.0	2323.0	dominant1
sub-pp013	13.0	0.0	2476.0	dominant1
sub-pp013	14.0	0.0	2653.0	dominant1
sub-pp013	15.0	0.0	2795.0	dominant1
sub-pp013	16.0	0.0	2966.0	dominant1
sub-pp013	17.0	0.0	3129.0	dominant1
sub-pp013	18.0	0.0	3309.0	dominant1
sub-pp013	19.0	0.0	3484.0	dominant1
sub-pp013	20.0	0.0	3653.0	dominant1
sub-pp013	21.0	0.0	3823.0	dominant1
sub-pp013	22.0	0.0	4005.0	dominant1
sub-pp013	23.0	0.0	4181.0	dominant1
sub-pp013	24.0	0.0	4346.0	dominant1
sub-pp013	25.0	0.0	4519.0	dominant1
sub-pp013	26.0	0.0	4698.0	dominant1
sub-pp013	27.0	0.0	4878.0	dominant1
sub-pp013	28.0	0.0	5050.0	dominant1
sub-pp013	29.0	0.0	5237.0	dominant1
sub-pp013	30.0	0.0	5430.0	dominant1
sub-pp013	31.0	0.0	5631.0	dominant1
sub-pp013	32.0	0.0	5790.0	dominant1
sub-pp013	33.0	0.0	5977.0	dominant1
sub-pp013	34.0	0.0	6169.0	dominant1
sub-pp013	35.0	0.0	6362.0	dominant1
sub-pp013	36.0	0.0	6548.0	dominant1
sub-pp013	37.0	0.0	6737.0	dominant1
sub-pp013	38.0	0.0	6929.0	dominant1
sub-pp013	39.0	0.0	7117.0	dominant1
sub-pp013	40.0	0.0	7299.0	dominant1
sub-pp013	41.0	0.0	7474.0	dominant1
sub-pp013	42.0	0.0	7675.0	dominant1
sub-pp013	43.0	0.0	7877.0	dominant1
sub-pp013	44.0	0.0	8087.0	dominant1
sub-pp013	45.0	0.0	8285.0	dominant1
sub-pp013	46.0	0.0	8459.0	dominant1
sub-pp013	47.0	0.0	8653.0	dominant1
sub-pp013	48.0	0.0	8855.0	dominant1
sub-pp013	49.0	0.0	9039.0	dominant1
sub-pp013	50.0	0.0	9228.0	dominant1
sub-pp013	51.0	0.0	9439.0	dominant1
sub-pp013	52.0	0.0	9632.0	dominant1
