participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp124	1.0	0.0	1606.699999988079	97
sub-pp124	1.0	0.0	1705.300000011921	63
sub-pp124	1.0	0.0	2007.9000000357628	582
sub-pp124	1.0	0.0	2100.100000023842	694
sub-pp124	1.0	0.0	2547.300000011921	7285
sub-pp124	1.0	0.0	3599.300000011921	6439
sub-pp124	1.0	0.0	3087.800000011921	42731
sub-pp124	1.0	0.0	4263.800000011921	75836
sub-pp124	1.0	0.0	4933.199999988079	392487
sub-pp124	1.0	0.0	7754.899999976158	619473
sub-pp124	1.0	0.0	8615.699999988079	4179386
sub-pp124	1.0	0.0	6495.400000035763	6917428
sub-pp124	1.0	0.0	8712.800000011921	38296174
sub-pp124	1.0	0.0	15524.69999998808	58132647
sub-pp124	1.0	0.0	9109.30000001192	275863194
sub-pp124	0.0	1.0	9287.600000023842	71394168
