participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp068	1.0	0.0	5249.300000071526	97
sub-pp068	1.0	0.0	3928.400000095368	63
sub-pp068	1.0	0.0	7453.800000071526	582
sub-pp068	1.0	0.0	7519.100000023842	694
sub-pp068	1.0	0.0	5476.199999928474	7285
sub-pp068	1.0	0.0	6433.699999928474	6439
sub-pp068	1.0	0.0	5196.899999976158	42731
sub-pp068	1.0	0.0	5266.399999976158	75836
sub-pp068	1.0	0.0	11923.5	392487
sub-pp068	1.0	0.0	5743.5	619473
sub-pp068	1.0	0.0	6142.0	4179386
sub-pp068	1.0	0.0	9912.199999928474	6917428
sub-pp068	1.0	0.0	19422.699999928474	38296174
sub-pp068	0.0	1.0	17058.699999928474	51328647
sub-pp068	0.0	1.0	16821.099999904633	27586394
sub-pp068	0.0	1.0	27978.60000002384	7139475386
