participant_id	write_1	draw_1	sewingneedle_1	scissors_1	toothbrush_1	knife_1	spoon_1	mop_1	lighter_1	jar_lid_1	hand_index
sub-pp001	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	60
sub-pp003	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100
sub-pp004	-1.0	-0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-15
sub-pp005	1.0	0.5	1.0	0.5	0.5	-0.5	0.5	0.5	1.0	0.5	55
sub-pp006	1.0	1.0	1.0	1.0	0.5	-1.0	1.0	0.0	0.5	0.5	55
sub-pp007	1.0	1.0	1.0	1.0	1.0	-1.0	1.0	0.5	1.0	0.5	70
sub-pp008	1.0	0.5	1.0	0.5	0.5	-0.5	0.5	0.5	1.0	1.0	60
sub-pp009	1.0	1.0	1.0	0.5	-1.0	0.0	0.0	0.0	0.0	0.0	25
sub-pp010	1.0	1.0	1.0	1.0	1.0	0.5	1.0	0.0	1.0	0.5	80
sub-pp011	-1.0	-1.0	-0.5	0.0	-1.0	-0.5	-0.5	0.0	-0.5	1.0	-40
sub-pp012	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-0.5	1.0	1.0	85
sub-pp013	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-0.5	85
sub-pp018	-1.0	-1.0	-0.5	-0.5	-0.5	-0.5	-0.5	-0.5	-1.0	-0.5	-65
sub-pp019	1.0	1.0	1.0	1.0	1.0	-1.0	1.0	1.0	1.0	1.0	80
sub-pp020	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100
sub-pp021	1.0	1.0	1.0	1.0	-0.5	1.0	0.5	1.0	1.0	1.0	80
sub-pp022	1.0	1.0	1.0	1.0	1.0	-1.0	1.0	0.5	1.0	0.5	70
sub-pp023	1.0	1.0	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	75
sub-pp024	1.0	1.0	1.0	0.5	1.0	1.0	1.0	1.0	0.5	0.5	85
sub-pp025	1.0	1.0	1.0	0.5	1.0	1.0	1.0	0.0	1.0	-0.5	70
sub-pp026	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100
sub-pp027	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-1.0	80
sub-pp030	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	80
sub-pp031	1.0	1.0	0.5	0.5	0.0	-1.0	0.5	1.0	1.0	1.0	55
sub-pp032	1.0	0.0	0.5	1.0	0.0	0.5	0.5	-0.5	1.0	-0.5	35
sub-pp033	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100
sub-pp035	1.0	1.0	1.0	0.5	0.5	0.0	0.5	0.5	1.0	0.5	65
sub-pp036	1.0	1.0	0.5	1.0	0.5	1.0	0.5	0.5	1.0	0.5	75
sub-pp038	1.0	1.0	1.0	0.5	0.0	0.5	0.5	1.0	0.5	1.0	70
sub-pp039	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100
sub-pp042	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100
sub-pp043	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.5	85
sub-pp044	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	100
sub-pp045	1.0	1.0	1.0	0.5	1.0	0.0	1.0	0.0	1.0	1.0	75
sub-pp046	1.0	1.0	0.0	0.5	0.0	-1.0	1.0	1.0	0.5	-0.5	35
sub-pp048	1.0	1.0	0.5	1.0	1.0	0.0	1.0	0.0	0.5	0.5	65
sub-pp050	1.0	1.0	1.0	1.0	0.5	-0.5	0.5	0.0	1.0	0.5	60
sub-pp052	-0.5	-0.5	1.0	0.0	0.0	0.0	0.0	-1.0	0.0	0.5	-5
sub-pp053	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	-1.0	1.0	80
sub-pp054	1.0	1.0	1.0	1.0	0.5	-0.5	0.5	0.5	0.5	0.5	60
sub-pp067	1.0	1.0	0.5	1.0	1.0	1.0	1.0	0.0	0.5	0.5	75
sub-pp068	1.0	1.0	1.0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	65
sub-pp069	1.0	1.0	1.0	0.5	0.0	0.5	0.0	0.0	0.0	0.0	40
