participant_id	finger-tapping_taps	finger-tapping_corr	finger-tapping_RT	trial_type
sub-pp127	1.0	0.0	54.0	dominant1
sub-pp127	2.0	0.0	206.0	dominant1
sub-pp127	3.0	0.0	375.0	dominant1
sub-pp127	4.0	0.0	535.0	dominant1
sub-pp127	5.0	0.0	675.0	dominant1
sub-pp127	6.0	0.0	786.0	dominant1
sub-pp127	7.0	0.0	958.0	dominant1
sub-pp127	8.0	0.0	1108.0	dominant1
sub-pp127	9.0	0.0	1264.0	dominant1
sub-pp127	10.0	0.0	1433.0	dominant1
sub-pp127	11.0	0.0	1598.0	dominant1
sub-pp127	12.0	0.0	1766.0	dominant1
sub-pp127	13.0	0.0	1943.0	dominant1
sub-pp127	14.0	0.0	2091.0	dominant1
sub-pp127	15.0	0.0	2256.0	dominant1
sub-pp127	16.0	0.0	2421.0	dominant1
sub-pp127	17.0	0.0	2580.0	dominant1
sub-pp127	18.0	0.0	2725.0	dominant1
sub-pp127	19.0	0.0	2892.0	dominant1
sub-pp127	20.0	0.0	3046.0	dominant1
sub-pp127	21.0	0.0	3222.0	dominant1
sub-pp127	22.0	0.0	3401.0	dominant1
sub-pp127	23.0	0.0	3565.0	dominant1
sub-pp127	24.0	0.0	3729.0	dominant1
sub-pp127	25.0	0.0	3908.0	dominant1
sub-pp127	26.0	0.0	4072.0	dominant1
sub-pp127	27.0	0.0	4248.0	dominant1
sub-pp127	28.0	0.0	4429.0	dominant1
sub-pp127	29.0	0.0	4621.0	dominant1
sub-pp127	30.0	0.0	4803.0	dominant1
sub-pp127	31.0	0.0	4974.0	dominant1
sub-pp127	32.0	0.0	5156.0	dominant1
sub-pp127	33.0	0.0	5346.0	dominant1
sub-pp127	34.0	0.0	5519.0	dominant1
sub-pp127	35.0	0.0	5709.0	dominant1
sub-pp127	36.0	0.0	5879.0	dominant1
sub-pp127	37.0	0.0	6049.0	dominant1
sub-pp127	38.0	0.0	6219.0	dominant1
sub-pp127	39.0	0.0	6383.0	dominant1
sub-pp127	40.0	0.0	6552.0	dominant1
sub-pp127	41.0	0.0	6723.0	dominant1
sub-pp127	42.0	0.0	6886.0	dominant1
sub-pp127	43.0	0.0	7039.0	dominant1
sub-pp127	44.0	0.0	7208.0	dominant1
sub-pp127	45.0	0.0	7376.0	dominant1
sub-pp127	46.0	0.0	7537.0	dominant1
sub-pp127	47.0	0.0	7705.0	dominant1
sub-pp127	48.0	0.0	7882.0	dominant1
sub-pp127	49.0	0.0	8050.0	dominant1
