participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp145	1.0	0.0	2260.700000047684	97
sub-pp145	1.0	0.0	2664.599999904633	63
sub-pp145	1.0	0.0	3939.5	582
sub-pp145	1.0	0.0	2258.5	694
sub-pp145	1.0	0.0	3493.2999999523163	7285
sub-pp145	1.0	0.0	3136.100000143051	6439
sub-pp145	1.0	0.0	4402.099999904633	42731
sub-pp145	1.0	0.0	4584.799999952316	75836
sub-pp145	0.0	1.0	7359.099999904633	392847
sub-pp145	1.0	0.0	5679.599999904633	619473
sub-pp145	1.0	0.0	5818.700000047684	4179386
sub-pp145	1.0	0.0	8530.199999809265	6917428
sub-pp145	0.0	1.0	11986.700000047684	38269174
sub-pp145	0.0	1.0	15493.900000095367	36271437
