participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp023	1.0	0.0	3370.300000011921	97
sub-pp023	1.0	0.0	2665.39999999106	63
sub-pp023	1.0	0.0	3555.1000000089407	582
sub-pp023	1.0	0.0	2990.699999988079	694
sub-pp023	1.0	0.0	5423.59999999404	7285
sub-pp023	1.0	0.0	5785.09999999404	6439
sub-pp023	1.0	0.0	5178.9000000059605	42731
sub-pp023	1.0	0.0	8476.09999999404	75836
sub-pp023	1.0	0.0	6403.20000000298	392487
sub-pp023	1.0	0.0	5476.29999999702	619473
sub-pp023	1.0	0.0	13023.70000000298	4179386
sub-pp023	1.0	0.0	9154.10000000894	6917428
sub-pp023	0.0	1.0	14057.09999999404	3829674
sub-pp023	0.0	1.0	24050.59999999404	5832247
