participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp117	1.0	0.0	4645.0	97
sub-pp117	1.0	0.0	3332.0	63
sub-pp117	1.0	0.0	3528.0	582
sub-pp117	1.0	0.0	3174.0	694
sub-pp117	1.0	0.0	2880.0	7285
sub-pp117	1.0	0.0	2987.0	6439
sub-pp117	1.0	0.0	4472.0	42731
sub-pp117	1.0	0.0	6821.0	75836
sub-pp117	1.0	0.0	6853.0	392487
sub-pp117	1.0	0.0	5977.0	619473
sub-pp117	1.0	0.0	5462.0	4179386
sub-pp117	0.0	1.0	16981.0	694278
sub-pp117	0.0	1.0	29755.0	2862624
sub-pp117	0.0	1.0	19258.0	58136247
