participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp112	1.0	0.0	1867.199999988079	97
sub-pp112	1.0	0.0	1225.9000000357628	63
sub-pp112	1.0	0.0	1564.899999976158	582
sub-pp112	1.0	0.0	2066.2999999523163	694
sub-pp112	1.0	0.0	2364.399999976158	7285
sub-pp112	1.0	0.0	2079.600000023842	6439
sub-pp112	1.0	0.0	2586.699999988079	42731
sub-pp112	1.0	0.0	2652.0	75836
sub-pp112	1.0	0.0	3286.899999976158	392487
sub-pp112	1.0	0.0	2727.400000035763	619473
sub-pp112	1.0	0.0	3800.099999964237	4179386
sub-pp112	0.0	1.0	6172.100000023842	6917486
sub-pp112	1.0	0.0	6550.199999988079	38296174
sub-pp112	0.0	1.0	9397.600000023842	583125467
sub-pp112	0.0	1.0	7789.100000023842	257863941
sub-pp112	0.0	1.0	11052.69999998808	791342586
