participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp020	1.0	0.0	1806.6000000238416	97
sub-pp020	1.0	0.0	1252.100000023842	63
sub-pp020	1.0	0.0	2024.700000047684	582
sub-pp020	1.0	0.0	1789.100000023842	694
sub-pp020	1.0	0.0	2487.8000000715256	7285
sub-pp020	1.0	0.0	2189.700000047684	6439
sub-pp020	1.0	0.0	2689.0	42731
sub-pp020	1.0	0.0	2643.700000047684	75836
sub-pp020	1.0	0.0	5977.699999928474	392487
sub-pp020	1.0	0.0	7405.200000047684	619473
sub-pp020	1.0	0.0	8012.899999976158	4179386
sub-pp020	1.0	0.0	7395.400000095367	6917428
sub-pp020	0.0	1.0	6488.699999928474	3892784
sub-pp020	0.0	1.0	5689.299999952316	581326847
