participant_id	mlat5_corr	mlat5_incorr	mlat5_RT
sub-pp025	1.0	0.0	1997.2999999523165
sub-pp025	1.0	0.0	1579.3999998569489
sub-pp025	1.0	0.0	1458.7999999523165
sub-pp025	1.0	0.0	1516.2999999523165
sub-pp025	1.0	0.0	2899.199999809265
sub-pp025	1.0	0.0	1592.0
sub-pp025	1.0	0.0	3088.2999999523163
sub-pp025	1.0	0.0	2086.7999999523163
sub-pp025	1.0	0.0	1543.3999998569489
sub-pp025	1.0	0.0	1920.8999998569489
sub-pp025	1.0	0.0	2029.0999999046328
sub-pp025	1.0	0.0	2258.2999999523163
sub-pp025	1.0	0.0	1696.7000000476835
sub-pp025	0.0	1.0	5614.300000190735
sub-pp025	1.0	0.0	5074.399999856949
sub-pp025	1.0	0.0	2980.0
sub-pp025	1.0	0.0	2060.2999999523163
sub-pp025	1.0	0.0	2539.9000000953674
sub-pp025	1.0	0.0	5298.700000047684
sub-pp025	1.0	0.0	1908.8000001907349
sub-pp025	1.0	0.0	1839.700000047684
sub-pp025	1.0	0.0	3078.0
sub-pp025	1.0	0.0	5191.099999904633
sub-pp025	1.0	0.0	1882.0999999046328
