participant_id	finger-tapping_taps	finger-tapping_corr	finger-tapping_RT	trial_type
sub-pp030	1.0	0.0	197.0	dominant1
sub-pp030	2.0	0.0	374.0	dominant1
sub-pp030	3.0	0.0	509.0	dominant1
sub-pp030	4.0	0.0	675.0	dominant1
sub-pp030	5.0	0.0	823.0	dominant1
sub-pp030	6.0	0.0	990.0	dominant1
sub-pp030	7.0	0.0	1139.0	dominant1
sub-pp030	8.0	0.0	1335.0	dominant1
sub-pp030	9.0	0.0	1481.0	dominant1
sub-pp030	10.0	0.0	1649.0	dominant1
sub-pp030	11.0	0.0	1815.0	dominant1
sub-pp030	12.0	0.0	2004.0	dominant1
sub-pp030	13.0	0.0	2181.0	dominant1
sub-pp030	14.0	0.0	2332.0	dominant1
sub-pp030	15.0	0.0	2516.0	dominant1
sub-pp030	16.0	0.0	2697.0	dominant1
sub-pp030	17.0	0.0	2862.0	dominant1
sub-pp030	18.0	0.0	3040.0	dominant1
sub-pp030	19.0	0.0	3198.0	dominant1
sub-pp030	20.0	0.0	3372.0	dominant1
sub-pp030	21.0	0.0	3551.0	dominant1
sub-pp030	22.0	0.0	3729.0	dominant1
sub-pp030	23.0	0.0	3893.0	dominant1
sub-pp030	24.0	0.0	4075.0	dominant1
sub-pp030	25.0	0.0	4247.0	dominant1
sub-pp030	26.0	0.0	4428.0	dominant1
sub-pp030	27.0	0.0	4611.0	dominant1
sub-pp030	28.0	0.0	4780.0	dominant1
sub-pp030	29.0	0.0	4956.0	dominant1
sub-pp030	30.0	0.0	5117.0	dominant1
sub-pp030	31.0	0.0	5286.0	dominant1
sub-pp030	32.0	0.0	5442.0	dominant1
sub-pp030	33.0	0.0	5619.0	dominant1
sub-pp030	34.0	0.0	5797.0	dominant1
sub-pp030	35.0	0.0	5961.0	dominant1
sub-pp030	36.0	0.0	6131.0	dominant1
sub-pp030	37.0	0.0	6305.0	dominant1
sub-pp030	38.0	0.0	6491.0	dominant1
sub-pp030	39.0	0.0	6651.0	dominant1
sub-pp030	40.0	0.0	6824.0	dominant1
sub-pp030	41.0	0.0	6995.0	dominant1
sub-pp030	42.0	0.0	7179.0	dominant1
sub-pp030	43.0	0.0	7342.0	dominant1
sub-pp030	44.0	0.0	7517.0	dominant1
sub-pp030	45.0	0.0	7713.0	dominant1
sub-pp030	46.0	0.0	7895.0	dominant1
sub-pp030	47.0	0.0	8055.0	dominant1
sub-pp030	48.0	0.0	8253.0	dominant1
sub-pp030	49.0	0.0	8432.0	dominant1
sub-pp030	50.0	0.0	8598.0	dominant1
sub-pp030	51.0	0.0	8779.0	dominant1
sub-pp030	52.0	0.0	8960.0	dominant1
sub-pp030	53.0	0.0	9137.0	dominant1
sub-pp030	54.0	0.0	9318.0	dominant1
sub-pp030	55.0	0.0	9492.0	dominant1
sub-pp030	56.0	0.0	9662.0	dominant1
sub-pp030	57.0	0.0	9871.0	dominant1
sub-pp030	1.0	0.0	117.0	dominant2
sub-pp030	2.0	0.0	268.0	dominant2
sub-pp030	3.0	0.0	419.0	dominant2
sub-pp030	4.0	0.0	563.0	dominant2
sub-pp030	5.0	0.0	713.0	dominant2
sub-pp030	6.0	0.0	870.0	dominant2
sub-pp030	7.0	0.0	1040.0	dominant2
sub-pp030	8.0	0.0	1189.0	dominant2
sub-pp030	9.0	0.0	1369.0	dominant2
sub-pp030	10.0	0.0	1539.0	dominant2
sub-pp030	11.0	0.0	1708.0	dominant2
sub-pp030	12.0	0.0	2036.0	dominant2
sub-pp030	13.0	0.0	2193.0	dominant2
sub-pp030	14.0	0.0	2376.0	dominant2
sub-pp030	15.0	0.0	2553.0	dominant2
sub-pp030	16.0	0.0	2722.0	dominant2
sub-pp030	17.0	0.0	2885.0	dominant2
sub-pp030	18.0	0.0	3050.0	dominant2
sub-pp030	19.0	0.0	3256.0	dominant2
sub-pp030	20.0	0.0	3411.0	dominant2
sub-pp030	21.0	0.0	3566.0	dominant2
sub-pp030	22.0	0.0	3714.0	dominant2
sub-pp030	23.0	0.0	3866.0	dominant2
sub-pp030	24.0	0.0	4034.0	dominant2
sub-pp030	25.0	0.0	4202.0	dominant2
sub-pp030	26.0	0.0	4369.0	dominant2
sub-pp030	27.0	0.0	4547.0	dominant2
sub-pp030	28.0	0.0	4724.0	dominant2
sub-pp030	29.0	0.0	4893.0	dominant2
sub-pp030	30.0	0.0	5067.0	dominant2
sub-pp030	31.0	0.0	5261.0	dominant2
sub-pp030	32.0	0.0	5452.0	dominant2
sub-pp030	33.0	0.0	5623.0	dominant2
sub-pp030	34.0	0.0	5804.0	dominant2
sub-pp030	35.0	0.0	5984.0	dominant2
sub-pp030	36.0	0.0	6180.0	dominant2
sub-pp030	37.0	0.0	6360.0	dominant2
sub-pp030	38.0	0.0	6525.0	dominant2
sub-pp030	39.0	0.0	6701.0	dominant2
sub-pp030	40.0	0.0	6910.0	dominant2
sub-pp030	41.0	0.0	7077.0	dominant2
sub-pp030	42.0	0.0	7242.0	dominant2
sub-pp030	43.0	0.0	7402.0	dominant2
sub-pp030	44.0	0.0	7570.0	dominant2
sub-pp030	45.0	0.0	7740.0	dominant2
sub-pp030	46.0	0.0	7932.0	dominant2
sub-pp030	47.0	0.0	8110.0	dominant2
sub-pp030	48.0	0.0	8272.0	dominant2
sub-pp030	49.0	0.0	8469.0	dominant2
sub-pp030	50.0	0.0	8649.0	dominant2
sub-pp030	51.0	0.0	8835.0	dominant2
sub-pp030	52.0	0.0	9038.0	dominant2
sub-pp030	53.0	0.0	9249.0	dominant2
sub-pp030	54.0	0.0	9412.0	dominant2
sub-pp030	55.0	0.0	9609.0	dominant2
sub-pp030	56.0	0.0	9773.0	dominant2
sub-pp030	57.0	0.0	9944.0	dominant2
sub-pp030	1.0	0.0	316.0	dominant3
sub-pp030	2.0	0.0	461.0	dominant3
sub-pp030	3.0	0.0	601.0	dominant3
sub-pp030	4.0	0.0	752.0	dominant3
sub-pp030	5.0	0.0	901.0	dominant3
sub-pp030	6.0	0.0	1058.0	dominant3
sub-pp030	7.0	0.0	1211.0	dominant3
sub-pp030	8.0	0.0	1371.0	dominant3
sub-pp030	9.0	0.0	1548.0	dominant3
sub-pp030	10.0	0.0	1709.0	dominant3
sub-pp030	11.0	0.0	1874.0	dominant3
sub-pp030	12.0	0.0	2046.0	dominant3
sub-pp030	13.0	0.0	2225.0	dominant3
sub-pp030	14.0	0.0	2385.0	dominant3
sub-pp030	15.0	0.0	2558.0	dominant3
sub-pp030	16.0	0.0	2758.0	dominant3
sub-pp030	17.0	0.0	2938.0	dominant3
sub-pp030	18.0	0.0	3118.0	dominant3
sub-pp030	19.0	0.0	3296.0	dominant3
sub-pp030	20.0	0.0	3477.0	dominant3
sub-pp030	21.0	0.0	3660.0	dominant3
sub-pp030	22.0	0.0	3840.0	dominant3
sub-pp030	23.0	0.0	4022.0	dominant3
sub-pp030	24.0	0.0	4195.0	dominant3
sub-pp030	25.0	0.0	4376.0	dominant3
sub-pp030	26.0	0.0	4561.0	dominant3
sub-pp030	27.0	0.0	4737.0	dominant3
sub-pp030	28.0	0.0	4914.0	dominant3
sub-pp030	29.0	0.0	5125.0	dominant3
sub-pp030	30.0	0.0	5305.0	dominant3
sub-pp030	31.0	0.0	5488.0	dominant3
sub-pp030	32.0	0.0	5693.0	dominant3
sub-pp030	33.0	0.0	5873.0	dominant3
sub-pp030	34.0	0.0	6072.0	dominant3
sub-pp030	35.0	0.0	6263.0	dominant3
sub-pp030	36.0	0.0	6442.0	dominant3
sub-pp030	37.0	0.0	6622.0	dominant3
sub-pp030	38.0	0.0	6801.0	dominant3
sub-pp030	39.0	0.0	6981.0	dominant3
sub-pp030	40.0	0.0	7162.0	dominant3
sub-pp030	41.0	0.0	7328.0	dominant3
sub-pp030	42.0	0.0	7524.0	dominant3
sub-pp030	43.0	0.0	7729.0	dominant3
sub-pp030	44.0	0.0	7896.0	dominant3
sub-pp030	45.0	0.0	8100.0	dominant3
sub-pp030	46.0	0.0	8306.0	dominant3
sub-pp030	47.0	0.0	8510.0	dominant3
sub-pp030	48.0	0.0	8718.0	dominant3
sub-pp030	49.0	0.0	8901.0	dominant3
sub-pp030	50.0	0.0	9080.0	dominant3
sub-pp030	51.0	0.0	9260.0	dominant3
sub-pp030	52.0	0.0	9438.0	dominant3
sub-pp030	53.0	0.0	9628.0	dominant3
sub-pp030	54.0	0.0	9807.0	dominant3
sub-pp030	1.0	0.0	276.0	dominant4
sub-pp030	2.0	0.0	430.0	dominant4
sub-pp030	3.0	0.0	577.0	dominant4
sub-pp030	4.0	0.0	725.0	dominant4
sub-pp030	5.0	0.0	880.0	dominant4
sub-pp030	6.0	0.0	1032.0	dominant4
sub-pp030	7.0	0.0	1205.0	dominant4
sub-pp030	8.0	0.0	1353.0	dominant4
sub-pp030	9.0	0.0	1503.0	dominant4
