participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp035	1.0	0.0	4886.0	97
sub-pp035	1.0	0.0	3470.399999999907	63
sub-pp035	1.0	0.0	4874.40000000014	582
sub-pp035	1.0	0.0	3534.899999999907	694
sub-pp035	1.0	0.0	4594.90000000014	7285
sub-pp035	1.0	0.0	3913.2999999998137	6439
sub-pp035	1.0	0.0	4822.399999999907	42731
sub-pp035	1.0	0.0	5638.0	75836
sub-pp035	1.0	0.0	6772.899999999907	392487
sub-pp035	1.0	0.0	7714.399999999907	619473
sub-pp035	1.0	0.0	9585.399999999909	4179386
sub-pp035	1.0	0.0	7475.09999999986	6917428
sub-pp035	1.0	0.0	9885.799999999814	38296174
sub-pp035	1.0	0.0	11711.900000000373	58132647
sub-pp035	0.0	1.0	10642.600000000091	27568394
sub-pp035	0.0	1.0	10395.299999999814	719243568
