participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp162	1.0	0.0	1908.3999999910595	97
sub-pp162	1.0	0.0	1721.5	63
sub-pp162	1.0	0.0	2208.5999999940395	582
sub-pp162	1.0	0.0	2150.199999988079	694
sub-pp162	1.0	0.0	3394.5	7285
sub-pp162	1.0	0.0	2869.6000000089407	6439
sub-pp162	1.0	0.0	4663.29999999702	42731
sub-pp162	1.0	0.0	4052.5	75836
sub-pp162	0.0	1.0	8481.5	39287
sub-pp162	1.0	0.0	8258.89999999106	619473
sub-pp162	0.0	1.0	9647.60000000894	417986
sub-pp162	0.0	1.0	10073.29999999702	691428
