participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp169	1.0	0.0	2687.0	97
sub-pp169	1.0	0.0	1850.0	63
sub-pp169	1.0	0.0	2311.0	582
sub-pp169	1.0	0.0	1641.0	694
sub-pp169	1.0	0.0	2801.0	7285
sub-pp169	1.0	0.0	2415.0	6439
sub-pp169	1.0	0.0	3831.0	42731
sub-pp169	1.0	0.0	3730.0	75836
sub-pp169	1.0	0.0	5520.0	392487
sub-pp169	1.0	0.0	4954.0	619473
sub-pp169	0.0	1.0	6877.0	4192386
sub-pp169	1.0	0.0	5643.0	6917428
sub-pp169	0.0	1.0	5547.0	38926174
sub-pp169	1.0	0.0	10810.0	58132647
sub-pp169	0.0	1.0	6221.0	257863194
sub-pp169	0.0	1.0	10097.0	714964568
