participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp166	1.0	0.0	2135.3000000715256	97
sub-pp166	1.0	0.0	1439.5	63
sub-pp166	1.0	0.0	1752.2999999523165	582
sub-pp166	1.0	0.0	2482.5	694
sub-pp166	1.0	0.0	2481.0	7285
sub-pp166	1.0	0.0	2500.700000047684	6439
sub-pp166	1.0	0.0	3645.799999952316	42731
sub-pp166	1.0	0.0	3903.600000023842	75836
sub-pp166	1.0	0.0	4535.5	392487
sub-pp166	0.0	1.0	7766.600000023842	649373
sub-pp166	0.0	1.0	9380.0	31947486
sub-pp166	0.0	1.0	6972.0	691428
