participant_id	mlat5_corr	mlat5_incorr	mlat5_RT
sub-pp076	1.0	0.0	2529.0
sub-pp076	1.0	0.0	3739.0
sub-pp076	0.0	1.0	8060.0
sub-pp076	1.0	0.0	1701.0
sub-pp076	1.0	0.0	5078.0
sub-pp076	1.0	0.0	3183.0
sub-pp076	1.0	0.0	7132.0
sub-pp076	1.0	0.0	7419.0
sub-pp076	1.0	0.0	1613.0
sub-pp076	0.0	1.0	9803.0
sub-pp076	0.0	1.0	3705.0
sub-pp076	1.0	0.0	1807.0
sub-pp076	1.0	0.0	1490.0
sub-pp076	0.0	1.0	5396.0
sub-pp076	1.0	0.0	4697.0
sub-pp076	0.0	1.0	5712.0
sub-pp076	1.0	0.0	4093.0
sub-pp076	0.0	1.0	3258.0
sub-pp076	0.0	1.0	4951.0
sub-pp076	1.0	0.0	4513.0
sub-pp076	1.0	0.0	4293.0
sub-pp076	1.0	0.0	4176.0
sub-pp076	0.0	1.0	4147.0
sub-pp076	1.0	0.0	3631.0
