participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp054	1.0	0.0	2293.199999988079	97
sub-pp054	1.0	0.0	1898.29999999702	63
sub-pp054	1.0	0.0	2918.79999999702	582
sub-pp054	1.0	0.0	4933.70000000298	694
sub-pp054	1.0	0.0	3767.09999999404	7285
sub-pp054	1.0	0.0	3420.0	6439
sub-pp054	1.0	0.0	3786.20000000298	42731
sub-pp054	0.0	1.0	9380.5	75638
sub-pp054	1.0	0.0	6583.399999991059	392487
sub-pp054	1.0	0.0	4716.4000000059605	619473
sub-pp054	1.0	0.0	8550.59999999404	4179386
sub-pp054	0.0	1.0	16584.20000000298	78899387
sub-pp054	0.0	1.0	11325.19999998808	38126914
sub-pp054	0.0	1.0	9354.0	591328487
