participant_id	finger-tapping_taps	finger-tapping_corr	finger-tapping_RT	trial_type
sub-pp054	1.0	0.0	241.0	dominant1
sub-pp054	2.0	0.0	375.0	dominant1
sub-pp054	3.0	0.0	500.0	dominant1
sub-pp054	4.0	0.0	645.0	dominant1
sub-pp054	5.0	0.0	764.0	dominant1
sub-pp054	6.0	0.0	884.0	dominant1
sub-pp054	7.0	0.0	1006.0	dominant1
sub-pp054	8.0	0.0	1138.0	dominant1
sub-pp054	9.0	0.0	1273.0	dominant1
sub-pp054	10.0	0.0	1394.0	dominant1
sub-pp054	11.0	0.0	1514.0	dominant1
sub-pp054	12.0	0.0	1646.0	dominant1
sub-pp054	13.0	0.0	1783.0	dominant1
sub-pp054	14.0	0.0	1913.0	dominant1
sub-pp054	15.0	0.0	2053.0	dominant1
sub-pp054	16.0	0.0	2188.0	dominant1
sub-pp054	17.0	0.0	2322.0	dominant1
sub-pp054	18.0	0.0	2443.0	dominant1
sub-pp054	19.0	0.0	2573.0	dominant1
sub-pp054	20.0	0.0	2712.0	dominant1
sub-pp054	21.0	0.0	2842.0	dominant1
sub-pp054	22.0	0.0	2981.0	dominant1
sub-pp054	23.0	0.0	3112.0	dominant1
sub-pp054	24.0	0.0	3250.0	dominant1
sub-pp054	25.0	0.0	3378.0	dominant1
sub-pp054	26.0	0.0	3519.0	dominant1
sub-pp054	27.0	0.0	3641.0	dominant1
sub-pp054	28.0	0.0	3764.0	dominant1
sub-pp054	29.0	0.0	3894.0	dominant1
sub-pp054	30.0	0.0	4388.0	dominant1
sub-pp054	31.0	0.0	4449.0	dominant1
sub-pp054	32.0	0.0	4605.0	dominant1
sub-pp054	33.0	0.0	4750.0	dominant1
sub-pp054	34.0	0.0	4882.0	dominant1
sub-pp054	35.0	0.0	5018.0	dominant1
sub-pp054	36.0	0.0	5156.0	dominant1
sub-pp054	37.0	0.0	5287.0	dominant1
sub-pp054	38.0	0.0	5414.0	dominant1
sub-pp054	39.0	0.0	5557.0	dominant1
sub-pp054	40.0	0.0	5687.0	dominant1
sub-pp054	41.0	0.0	5830.0	dominant1
sub-pp054	42.0	0.0	5961.0	dominant1
sub-pp054	43.0	0.0	6085.0	dominant1
sub-pp054	44.0	0.0	6220.0	dominant1
sub-pp054	45.0	0.0	6366.0	dominant1
sub-pp054	46.0	0.0	6486.0	dominant1
sub-pp054	47.0	0.0	6621.0	dominant1
sub-pp054	48.0	0.0	6740.0	dominant1
sub-pp054	49.0	0.0	6874.0	dominant1
sub-pp054	50.0	0.0	7006.0	dominant1
sub-pp054	51.0	0.0	7144.0	dominant1
sub-pp054	52.0	0.0	7278.0	dominant1
sub-pp054	53.0	0.0	7401.0	dominant1
sub-pp054	54.0	0.0	7539.0	dominant1
sub-pp054	55.0	0.0	7684.0	dominant1
sub-pp054	56.0	0.0	7810.0	dominant1
sub-pp054	57.0	0.0	7954.0	dominant1
sub-pp054	58.0	0.0	8078.0	dominant1
sub-pp054	59.0	0.0	8222.0	dominant1
sub-pp054	60.0	0.0	8353.0	dominant1
sub-pp054	61.0	0.0	8477.0	dominant1
sub-pp054	62.0	0.0	8602.0	dominant1
sub-pp054	63.0	0.0	8732.0	dominant1
sub-pp054	64.0	0.0	9036.0	dominant1
sub-pp054	65.0	0.0	9186.0	dominant1
sub-pp054	66.0	0.0	9333.0	dominant1
sub-pp054	67.0	0.0	9460.0	dominant1
sub-pp054	68.0	0.0	9606.0	dominant1
sub-pp054	69.0	0.0	9722.0	dominant1
sub-pp054	70.0	0.0	9870.0	dominant1
sub-pp054	1.0	0.0	40.0	dominant2
sub-pp054	2.0	0.0	159.0	dominant2
sub-pp054	3.0	0.0	402.0	dominant2
sub-pp054	4.0	0.0	557.0	dominant2
sub-pp054	5.0	0.0	679.0	dominant2
sub-pp054	6.0	0.0	819.0	dominant2
sub-pp054	7.0	0.0	939.0	dominant2
sub-pp054	8.0	0.0	1068.0	dominant2
sub-pp054	9.0	0.0	1186.0	dominant2
sub-pp054	10.0	0.0	1310.0	dominant2
sub-pp054	11.0	0.0	1432.0	dominant2
sub-pp054	12.0	0.0	1568.0	dominant2
sub-pp054	13.0	0.0	1698.0	dominant2
sub-pp054	14.0	0.0	1838.0	dominant2
sub-pp054	15.0	0.0	1973.0	dominant2
sub-pp054	16.0	0.0	2108.0	dominant2
sub-pp054	17.0	0.0	2228.0	dominant2
sub-pp054	18.0	0.0	2375.0	dominant2
sub-pp054	19.0	0.0	2499.0	dominant2
sub-pp054	20.0	0.0	2634.0	dominant2
sub-pp054	21.0	0.0	2766.0	dominant2
sub-pp054	22.0	0.0	2885.0	dominant2
sub-pp054	23.0	0.0	3008.0	dominant2
sub-pp054	24.0	0.0	3154.0	dominant2
sub-pp054	25.0	0.0	3281.0	dominant2
sub-pp054	26.0	0.0	3402.0	dominant2
sub-pp054	27.0	0.0	3548.0	dominant2
sub-pp054	28.0	0.0	3693.0	dominant2
sub-pp054	29.0	0.0	3815.0	dominant2
sub-pp054	30.0	0.0	3941.0	dominant2
sub-pp054	31.0	0.0	4088.0	dominant2
sub-pp054	32.0	0.0	4232.0	dominant2
sub-pp054	33.0	0.0	4532.0	dominant2
sub-pp054	34.0	0.0	4667.0	dominant2
sub-pp054	35.0	0.0	4808.0	dominant2
sub-pp054	36.0	0.0	4955.0	dominant2
sub-pp054	37.0	0.0	5082.0	dominant2
sub-pp054	38.0	0.0	5222.0	dominant2
sub-pp054	39.0	0.0	5314.0	dominant2
sub-pp054	40.0	0.0	5461.0	dominant2
sub-pp054	41.0	0.0	5590.0	dominant2
sub-pp054	42.0	0.0	5731.0	dominant2
sub-pp054	43.0	0.0	5857.0	dominant2
sub-pp054	44.0	0.0	6008.0	dominant2
sub-pp054	45.0	0.0	6125.0	dominant2
sub-pp054	46.0	0.0	6258.0	dominant2
sub-pp054	47.0	0.0	6379.0	dominant2
sub-pp054	48.0	0.0	6511.0	dominant2
sub-pp054	49.0	0.0	6635.0	dominant2
sub-pp054	50.0	0.0	6768.0	dominant2
sub-pp054	51.0	0.0	6906.0	dominant2
sub-pp054	52.0	0.0	7030.0	dominant2
sub-pp054	53.0	0.0	7143.0	dominant2
sub-pp054	54.0	0.0	7291.0	dominant2
sub-pp054	55.0	0.0	7577.0	dominant2
sub-pp054	56.0	0.0	7708.0	dominant2
