participant_id	mlat5_corr	mlat5_incorr	mlat5_RT
sub-pp045	1.0	0.0	15695.0
sub-pp045	1.0	0.0	16633.0
sub-pp045	0.0	1.0	2270.0
sub-pp045	1.0	0.0	2667.0
sub-pp045	0.0	1.0	1869.0
sub-pp045	0.0	1.0	7738.0
sub-pp045	1.0	0.0	8053.0
sub-pp045	1.0	0.0	3087.0
sub-pp045	1.0	0.0	2849.0
sub-pp045	0.0	1.0	4837.0
sub-pp045	0.0	1.0	7802.0
sub-pp045	1.0	0.0	4887.0
sub-pp045	0.0	1.0	15717.0
sub-pp045	0.0	1.0	11468.0
sub-pp045	1.0	0.0	6152.0
sub-pp045	0.0	1.0	26239.0
sub-pp045	0.0	1.0	18739.0
sub-pp045	0.0	1.0	10083.0
sub-pp045	1.0	0.0	4235.0
sub-pp045	0.0	1.0	4636.0
sub-pp045	0.0	1.0	10203.0
sub-pp045	0.0	1.0	15219.0
sub-pp045	1.0	0.0	11438.0
sub-pp045	1.0	0.0	1725.0
