participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp036	1.0	0.0	1932.0	97
sub-pp036	1.0	0.0	1958.0	63
sub-pp036	1.0	0.0	2023.0	582
sub-pp036	1.0	0.0	1873.0	694
sub-pp036	1.0	0.0	2310.0	7285
sub-pp036	1.0	0.0	3011.0	6439
sub-pp036	1.0	0.0	2993.0	42731
sub-pp036	1.0	0.0	6735.0	75836
sub-pp036	1.0	0.0	3243.0	392487
sub-pp036	1.0	0.0	6129.0	619473
sub-pp036	0.0	1.0	25365.0	479386
sub-pp036	1.0	0.0	5308.0	6917428
sub-pp036	0.0	1.0	9139.0	392874
sub-pp036	0.0	1.0	18193.0	8123647
