participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp158	1.0	0.0	1889.0	97
sub-pp158	1.0	0.0	1425.0	63
sub-pp158	1.0	0.0	1911.0	582
sub-pp158	1.0	0.0	1984.0	694
sub-pp158	1.0	0.0	3099.0	7285
sub-pp158	1.0	0.0	4001.0	6439
sub-pp158	0.0	1.0	3694.0	47231
sub-pp158	1.0	0.0	5429.0	75836
sub-pp158	1.0	0.0	4762.0	392487
sub-pp158	0.0	1.0	7174.0	461973
sub-pp158	0.0	1.0	6901.0	417986
sub-pp158	1.0	0.0	7792.0	6917428
sub-pp158	0.0	1.0	8035.0	2938654
sub-pp158	0.0	1.0	7424.0	25168247
