participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp095	1.0	0.0	1751.699999988079	97
sub-pp095	1.0	0.0	1336.699999988079	63
sub-pp095	1.0	0.0	1628.800000011921	582
sub-pp095	1.0	0.0	2392.900000035763	694
sub-pp095	1.0	0.0	2696.200000047684	7285
sub-pp095	1.0	0.0	3011.699999988079	6439
sub-pp095	1.0	0.0	3023.0	42731
sub-pp095	1.0	0.0	3810.300000011921	75836
sub-pp095	1.0	0.0	3760.900000035763	392487
sub-pp095	1.0	0.0	5630.099999964237	619473
sub-pp095	1.0	0.0	6836.300000011921	4179386
sub-pp095	1.0	0.0	7376.699999988079	6917428
sub-pp095	1.0	0.0	11695.30000001192	38296174
sub-pp095	0.0	1.0	12540.399999976158	58127487
sub-pp095	0.0	1.0	19708.89999997616	235873194
sub-pp095	0.0	1.0	21428.80000001192	714692358
