participant_id	cvlt-long_corr	cvlt-long_incorr	cvlt-long_RT
sub-pp170	1.0	0.0	2539.2999999821186
sub-pp170	0.0	1.0	2652.699999988079
sub-pp170	0.0	1.0	2044.5999999940395
sub-pp170	1.0	0.0	1850.800000011921
sub-pp170	1.0	0.0	2130.9000000059605
sub-pp170	1.0	0.0	1636.5999999940395
sub-pp170	1.0	0.0	1914.5
sub-pp170	1.0	0.0	1715.2000000178814
sub-pp170	1.0	0.0	1993.7999999821184
sub-pp170	1.0	0.0	1765.0999999940395
sub-pp170	1.0	0.0	1744.0
sub-pp170	0.0	1.0	1499.2999999821186
sub-pp170	0.0	1.0	1594.199999988079
sub-pp170	1.0	0.0	1865.0999999940395
sub-pp170	1.0	0.0	1843.4000000059605
sub-pp170	1.0	0.0	1679.5
sub-pp170	1.0	0.0	2567.699999988079
sub-pp170	1.0	0.0	1815.0999999940395
sub-pp170	1.0	0.0	1464.899999976158
sub-pp170	1.0	0.0	1737.0
sub-pp170	1.0	0.0	1880.0999999940395
sub-pp170	1.0	0.0	1600.7000000178814
sub-pp170	1.0	0.0	1816.5999999940395
sub-pp170	0.0	1.0	1549.4000000059605
sub-pp170	1.0	0.0	1478.7999999821186
sub-pp170	1.0	0.0	2066.5
sub-pp170	1.0	0.0	2380.0999999940395
sub-pp170	1.0	0.0	2388.0
sub-pp170	1.0	0.0	2065.600000023842
sub-pp170	1.0	0.0	1586.0
sub-pp170	1.0	0.0	1952.5
sub-pp170	1.0	0.0	1907.9000000059605
sub-pp170	1.0	0.0	2037.9000000059605
sub-pp170	1.0	0.0	3399.0999999940395
sub-pp170	1.0	0.0	1744.0
sub-pp170	0.0	1.0	1663.9000000059605
sub-pp170	1.0	0.0	1952.4000000059605
sub-pp170	1.0	0.0	1629.5
sub-pp170	1.0	0.0	1607.0999999940395
sub-pp170	0.0	1.0	2023.2999999821184
sub-pp170	1.0	0.0	1693.600000023842
sub-pp170	1.0	0.0	1849.0
sub-pp170	1.0	0.0	1831.1000000238416
sub-pp170	1.0	0.0	1558.9000000059605
