participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp018	1.0	0.0	2875.79999999702	97
sub-pp018	1.0	0.0	1731.7999999970198	63
sub-pp018	1.0	0.0	1534.0	582
sub-pp018	1.0	0.0	2119.0	694
sub-pp018	1.0	0.0	1897.20000000298	7285
sub-pp018	1.0	0.0	2666.20000000298	6439
sub-pp018	1.0	0.0	2249.5999999940395	42731
sub-pp018	1.0	0.0	2829.20000000298	75836
sub-pp018	1.0	0.0	3261.20000000298	392487
sub-pp018	1.0	0.0	4622.70000000298	619473
sub-pp018	1.0	0.0	3300.0999999940395	4179386
sub-pp018	1.0	0.0	5697.4000000059605	6917428
sub-pp018	1.0	0.0	4928.899999991059	38296174
sub-pp018	0.0	1.0	11925.70000000298	58134267
sub-pp018	0.0	1.0	13442.10000000894	276513894
sub-pp018	1.0	0.0	15689.0	713942568
