participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp163	1.0	0.0	1662.7999999523165	97
sub-pp163	1.0	0.0	1730.3000000715256	63
sub-pp163	1.0	0.0	1670.2999999523165	582
sub-pp163	1.0	0.0	1872.3000000715256	694
sub-pp163	1.0	0.0	2761.700000047684	7285
sub-pp163	1.0	0.0	2803.4000000953674	6439
sub-pp163	1.0	0.0	3159.1999999284744	42731
sub-pp163	1.0	0.0	3484.5	75836
sub-pp163	1.0	0.0	5404.700000047684	392487
sub-pp163	1.0	0.0	4477.600000023842	619473
sub-pp163	0.0	1.0	10994.900000095367	419738
sub-pp163	1.0	0.0	4732.600000023842	6917428
sub-pp163	0.0	1.0	9068.899999976158	38196814
sub-pp163	0.0	1.0	10417.399999976158	5814327
