participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp161	1.0	0.0	3794.199999988079	97
sub-pp161	1.0	0.0	2896.199999988079	63
sub-pp161	1.0	0.0	2243.600000023842	582
sub-pp161	1.0	0.0	2691.199999988079	694
sub-pp161	1.0	0.0	2241.899999976158	7285
sub-pp161	1.0	0.0	3849.600000023842	6439
sub-pp161	1.0	0.0	3557.100000023842	42731
sub-pp161	0.0	1.0	6520.300000011921	758316
sub-pp161	1.0	0.0	6781.799999952316	392487
sub-pp161	1.0	0.0	6026.100000023842	619473
sub-pp161	0.0	1.0	5368.699999988079	4179316
sub-pp161	0.0	1.0	14460.900000035765	69174138
