participant_id	digit-for_corr	digit-for_incorr	digit-for_RT	digit-for_response
sub-pp083	1.0	0.0	1357.9000000059605	97
sub-pp083	1.0	0.0	1183.5	63
sub-pp083	1.0	0.0	2335.1000000089407	582
sub-pp083	1.0	0.0	1364.2999999970198	694
sub-pp083	1.0	0.0	2789.29999999702	7285
sub-pp083	1.0	0.0	2587.29999999702	6439
sub-pp083	1.0	0.0	7132.699999988079	42731
sub-pp083	1.0	0.0	3821.5	75836
sub-pp083	0.0	1.0	4813.5	329487
sub-pp083	1.0	0.0	3297.70000000298	619473
sub-pp083	1.0	0.0	4537.9000000059605	4179386
sub-pp083	1.0	0.0	5029.899999991059	6917428
sub-pp083	0.0	1.0	12027.70000000298	39826174
sub-pp083	0.0	1.0	8747.10000000894	38142637
