participant_id	mlat5_corr	mlat5_incorr	mlat5_RT
sub-pp036	1.0	0.0	5694.0
sub-pp036	1.0	0.0	3083.0
sub-pp036	1.0	0.0	2159.0
sub-pp036	1.0	0.0	4143.0
sub-pp036	0.0	1.0	9015.0
sub-pp036	1.0	0.0	1160.0
sub-pp036	1.0	0.0	1412.0
sub-pp036	0.0	1.0	7559.0
sub-pp036	1.0	0.0	2910.0
sub-pp036	1.0	0.0	1745.0
sub-pp036	1.0	0.0	2045.0
sub-pp036	1.0	0.0	5133.0
sub-pp036	1.0	0.0	8867.0
sub-pp036	0.0	1.0	1754.0
sub-pp036	1.0	0.0	1940.0
sub-pp036	0.0	1.0	6900.0
sub-pp036	1.0	0.0	3103.0
sub-pp036	1.0	0.0	4331.0
sub-pp036	1.0	0.0	12824.0
sub-pp036	0.0	1.0	6847.0
sub-pp036	1.0	0.0	6077.0
sub-pp036	1.0	0.0	10968.0
sub-pp036	1.0	0.0	1888.0
sub-pp036	1.0	0.0	5615.0
